69311255.01, BOX85032
69436462.01, FRI36294, FRI36294, FRI53518
69436710.01, FRI36134, FRI36289, FRI36294, FRI53518
69436952.01,FRI36289,FRI36294,FRI36317
69437010.01,FRI36289,FRI36294,FRI36317,FRI53518
69437186.01,FRI36294,FRI36294,FRI36317
69437218.01,FRI36289,FRI36294,FRI36294,FRI53518
69437224.01,FRI36134,FRI36294,FRI36317
69437225.01,FRI36289,FRI36294,FRI36317,FRI53518
69437232.01,FRI36134,FRI36317,FRI53518
69437243.01,FRI36134,FRI36289,FRI36294,FRI36317,FRI36317,FRI53518
69437298.01,FRI36289,FRI36317,FRI53518
69437303.01,FRI36289,FRI36294,FRI36317,FRI53518
69437306.01,FRI36289,FRI36294,FRI36317,FRI53518
69501873.01,ZPD30236
69511639.01,GEM14852
69511663.01,GEM14852,KEE16668
69511668.01,DCC028
69511752.01,DCC028,MMM04432
69511916.01,NFG07862,WMW23376
69511986.01,MMM04432
69512148.01,MMM04460
69516927.01,FEU57102,HAR30220,HEC54402,MMM50884,MOR00433,WKR01146
69517320.01,GDV14027,HEC04021
69521804.01,QUA10274
69521884.01,FGM66000
69521908.01,FGM66000
69522223.01,HEC54402
69522224.01,ACG53348,BBD41204,CCC50120,NUU02048,NUU02081,SPT053,SPT70015
69522250.01,CVT16823,FER04906,HEC54402,JAR1506224,KEE20408,PAR070146A25M,SPT70015,TFL01273
69522732.01,KEE20408,QUA010164
69522751.01,QUA10274
69522814.01,CCC50120,GOO11700,JAR1506224,MMM01731,MMM42005,MMM42006,MMM47652,MOR00433,QUA10249,QUA134469,TFL01076,TFL55002,VAM08444
69525342.01,HEC22100
69525361.01,BAR08796
69525612.01,WMW24024
69525665.01,MMM32252
69526138.01,FRI36109,FRI36289,FRI36294,FRI36317,FRI36330
69526139.01,FRI36109,FRI36131,FRI36317
69526142.01,FRI36109,FRI36131,FRI53518
69526146.01,FRI35821,FRI36109,FRI36111,FRI36289
69526150.01,FRI35821,FRI36131,FRI36134,FRI36289,FRI36294,FRI36330,FRI53518
69526155.01,FRI36131,FRI36294,FRI36330
69526158.01,FRI36109,FRI36131,FRI36294,FRI53518
69526159.01,FRI35821,FRI36109,FRI36345,FRI53518
69526161.01,FRI36111,FRI36289,FRI36317,FRI36345
69526175.01,FRI36109,FRI36131,FRI36289,FRI53518
69526182.01,FRI36294,FRI36317,FRI36330,FRI53518
69526183.01,FRI36131,FRI36289,FRI53518
69526188.01,FRI36109,FRI36134,FRI36289,FRI36294,FRI36317,FRI36330,FRI53518
69526193.01,FRI35821,FRI36109,FRI36131,FRI36134,FRI36317,FRI36345,FRI53518
69526195.01,FRI36134,FRI36294,FRI36317,FRI36330
69526198.01,FRI35821,FRI36111,FRI36317,FRI53518
69526199.01,FRI35821,FRI36109,FRI36111,FRI36289,FRI36294,FRI36317,FRI36330,FRI53518
69526206.01,FRI36111,FRI36131,FRI36134,FRI36294,FRI36317,FRI36330,FRI53518
69526210.01,FRI35821,FRI36109,FRI36131,FRI36134,FRI36294,FRI36317,FRI36330,FRI53518
69526213.01,FRI35821,FRI36111,FRI36294,FRI36317,FRI36330,FRI53518
69526215.01,FRI36294,FRI36330,FRI36330,FRI53518
69526220.01,FRI36109,FRI36289,FRI36317,FRI36330
69526224.01,FRI36131,FRI36289,FRI36330
69526240.01,FRI36289,FRI36294,FRI36317,FRI36330
69526246.01,FRI36294,FRI36317,FRI36330
69526252.01,FRI35821,FRI36131,FRI36317,FRI36330,FRI53518
69526259.01,FRI36131,FRI36294,FRI36317
69526274.01,FRI36289,FRI36294,FRI36317,FRI53518
69526275.01,FRI36131,FRI36294,FRI36317
69526278.01,FRI36111,FRI36289,FRI36330,FRI53518
69526280.01,FRI36289,FRI36294,FRI36330,FRI53518
69526281.01,FRI36111,FRI36289,FRI36294,FRI36317
69526288.01,FRI36109,FRI36111,FRI36289,FRI36330,FRI53518
69526291.01,FRI35821,FRI36131,FRI36289,FRI36345,FRI53518
69526297.01,FRI35821,FRI36109,FRI36111,FRI36317,FRI53518
69526300.01,FRI35821,FRI36289,FRI36294
69526302.01,FRI36111,FRI36289,FRI36294,FRI36317
69526303.01,FRI35821,FRI36131,FRI36294,FRI36317
69526304.01,FRI36109,FRI36131,FRI36317,FRI53518
69526319.01,FRI36289,FRI36317,FRI53518
69526324.01,FRI35821,FRI36131,FRI36294,FRI53518
69526347.01,FRI36289,FRI36294,FRI53518
69526356.01,FRI36294,FRI36317,FRI36330,FRI53518
69526364.01,FRI36134,FRI36289,FRI36294,FRI36317
69526381.01,FRI36111,FRI36289,FRI36317,FRI53518
69526382.01,FRI36134,FRI36294,FRI36317
69526386.01,FRI36131,FRI36289
69526401.01,FRI36131,FRI36289,FRI36294,FRI36345
69526407.01,FRI35821,FRI36289,FRI36294
69526408.01,FRI36131,FRI36317,FRI53518
69526412.01,FRI36111,FRI36289,FRI36294,FRI36330
69526414.01,FRI36134,FRI36289,FRI36294,FRI36317
69526424.01,FRI36131,FRI36294
69526431.01,FRI35821,FRI36131,FRI36294
69526432.01,FRI36134,FRI36289,FRI36294
69526436.01,FRI35821,FRI36131,FRI36289,FRI36294
69526442.01,FRI36111,FRI36294,FRI53518
69526445.01,FRI36111,FRI36294,FRI36317
69526462.01,FRI36294
69526464.01,FRI35821,FRI36289,FRI36294,FRI53518
69526468.01,FRI36294
69526483.01,FRI36294,FRI36317,FRI53518
69526487.01,FRI36294
69526491.01,FRI35821,FRI36289,FRI36330
69526497.01,FRI36294
69526499.01,FRI36294,FRI36294,FRI36317,FRI36330,FRI53518
69526500.01,FRI35821,FRI36289,FRI36294,FRI53518
69526503.01,FRI36111,FRI36289,FRI36294
69526504.01,FRI35821,FRI36134,FRI36294
69526511.01,FRI36131,FRI36294
69526522.01,FRI36131,FRI36294,FRI36317
69526554.01,FRI35821,FRI36111,FRI36289,FRI36294
69526560.01,FRI36134,FRI36294,FRI36317
69526562.01,FRI36131,FRI36289,FRI36294,FRI36330
69526572.01,FRI36294,FRI36317,FRI53518
69526573.01,FRI36294
69526585.01,FRI36134,FRI36330,FRI53518
69526586.01,FRI36111,FRI36289,FRI36294
69526593.01,FRI36111,FRI36131,FRI36134,FRI36289,FRI36317,FRI36330,FRI53518
69526595.01,FRI36134,FRI36289,FRI36294,FRI53518
69526660.01,FRI36131,FRI36289,FRI36294
69526841.01,FRI35821,FRI36131,FRI53518
69526919.01,FRI36111,FRI36131,FRI36289
69527153.01,FRI36289,FRI36294
69527162.01,FRI36294,FRI36317
69527165.01,FRI35821,FRI36131,FRI36294
69527168.01,FRI36131,FRI36289,FRI36294,FRI53518
69527179.01,FRI36131,FRI36294
69527182.01,FRI36131,FRI36294,FRI36330
69527202.01,FRI36131,FRI36294,FRI36330
69527218.01,FRI36294,FRI36317,FRI53518
69527231.01,FRI36111,FRI36294,FRI36317
69527235.01,FRI36289,FRI36294,FRI53518
69527243.01,FRI36131,FRI36289,FRI36294,FRI36317
69527253.01,FRI36294,FRI36294,FRI36317,FRI53518
69527260.01,FRI35821,FRI36294,FRI36330
69527262.01,FRI36294
69527270.01,FRI36111,FRI36289,FRI36294
69527284.01,FRI36294,FRI36317,FRI36330,FRI53518
69527290.01,FRI36131,FRI36294,FRI36330
69527294.01,FRI36111,FRI36131,FRI36294
69527305.01,FRI36294,FRI36330
69527321.01,FRI36294,FRI36317,FRI36330,FRI53518
69527325.01,FRI36131,FRI36289,FRI36294
69527412.01,FRI36131,FRI36317,FRI36330,FRI53518
69527512.01,FRI36111,FRI36289,FRI36317
69527520.01,FRI35821,FRI53518
69527921.01,MMM04460
69530283.01,BLU5180,DCC028,FEU10080,FEU57102,FEU57102,GEN02203,GOV46170,HEC70077,HEC72123,LNL36000,MMM04431,MMM32247,MMM47652,MOZ05088,NES05566,OGF21482,VAM08435,VAM08435,VAM08444,WMW23376,WMW24024,WMW24738,WMW27611,WMW27612,WMW27612,WMW51220,WMW51404
69534196.01,SKP00462,SKP00462
69538509.01,SKP00462
69538517.01,SKP00462
69538522.01,CON1650,CON5843
69538526.01,HAR30220,JAR1506225
69538544.01,088653,PPIVENL065
69539767.01,NNH12645
69539768.01,GNT52371,NNH12639
69541428.01,CVT00201,CWC00606,CWC00778,DLD08931,GOC74801,IFA07939
69541431.01,CWC00606,CWC00778,STA00312
69541522.01,CVT00201,CWC00429,CWC00606,CWC00778,HEC22100,IFA07939,IFA07939,STA00312
69541697.01,CWC00606,CWC00778,DLD08931,GOC74801,HEC22600,SPN90000
69541729.01,CVT00201,CWC00606,CWC00778
69542618.01,CVT00201,FRI36294-8,HEC22100,JUS93009
69542796.01,SPN90000
69543858.01,MOZ05061
69543863.01,OGF21482
69543926.01,FEU57102
69547994.01,GEM15990,JLB87631,JLB87632,JLB87633,JLB87735,LEA80726,NFG08342,PAR070146A25M,PAR072142WTV,PAR91087
69551976.01,MMM04460,MMM35391
69552091.01,CON1139
69552111.01,HEC44000
69552114.01,EAS63225
69552123.01,SKP00462
69552131.01,SKP00462
69552160.01,KEE12589
69552848.01,MMM42005
69554064.01,HEC24100
69554203.01,LAS3514
69554336.01,MMM71471,PIM05092
69554356.01,HEC22600
69554373.01,KEE21768
69555118.01,CON2786
69555181.01,AAT01213,GEM16539,HEC23900,KEE19132,KEE31521,MMM35391,MOZ01106,SMW20071,SMW20080
69555323.01,FRI45091
69555324.01,AMC60001
69555329.01,HEC54402
69555334.01,SKP00462,SKP00462
69555346.01,CCC210051
69555379.01,FRI44363,FRI44363,FRI44363
69555408.01,SKP00462
69555410.01,EAS63225
69555415.01,SKP00462
69555430.01,AMC60001
69557352.01,QUA43661
69557354.01,QUA49651
69559416.01,CVT00201,CWC00420,MMM47652
69559476.01,FRI44363
69561835.01,BFR00836,JLB87715,JLB87716,KEE16668,KEE16670,WMW22037
69565701.01,PIM05092
69565748.01,MMM42006
69565749.01,HEC44000
69565784.01,CON6862DS